CMDLINE python3 scripts/generate_text.py
MEM 2499.367188 1719625790.6945
MEM 2499.367188 1719625790.7985
MEM 2499.367188 1719625790.9025
MEM 2499.367188 1719625791.0054
MEM 2499.367188 1719625791.1065
MEM 2499.367188 1719625791.2107
MEM 2499.367188 1719625791.3145
MEM 2499.367188 1719625791.4159
MEM 2499.367188 1719625791.5185
MEM 2499.367188 1719625791.6203
MEM 2535.363281 1719625791.7211
MEM 2563.363281 1719625791.8266
MEM 2578.113281 1719625791.9304
MEM 2515.378906 1719625792.0345
MEM 2515.378906 1719625792.1385
MEM 2515.378906 1719625792.2425
MEM 2515.378906 1719625792.3465
MEM 2515.378906 1719625792.4506
MEM 2515.378906 1719625792.5545
MEM 2515.378906 1719625792.6585
MEM 2515.378906 1719625792.7594
MEM 2554.628906 1719625792.8626
MEM 2634.878906 1719625792.9666
MEM 2735.488281 1719625793.0674
MEM 2659.480469 1719625793.1706
MEM 2813.730469 1719625793.2745
MEM 2810.058594 1719625793.3786
MEM 2665.871094 1719625793.4832
MEM 2704.121094 1719625793.5869
MEM 2737.371094 1719625793.6897
MEM 2771.871094 1719625793.7910
MEM 2788.871094 1719625793.8945
MEM 2793.121094 1719625793.9985
MEM 2651.433594 1719625794.0994
MEM 2635.933594 1719625794.2023
MEM 2659.308594 1719625794.3066
MEM 2662.808594 1719625794.4105
MEM 2677.433594 1719625794.5139
MEM 2610.691406 1719625794.6146
MEM 2721.816406 1719625794.7156
MEM 2595.367188 1719625794.8185
MEM 2595.367188 1719625794.9208
MEM 2595.367188 1719625795.0216
MEM 2595.367188 1719625795.1226
MEM 2595.367188 1719625795.2238
MEM 2595.367188 1719625795.3265
MEM 2595.367188 1719625795.4292
MEM 2595.367188 1719625795.5345
MEM 2595.367188 1719625795.6391
MEM 2595.367188 1719625795.7400
MEM 2651.347656 1719625795.8408
MEM 2720.597656 1719625795.9417
MEM 2755.347656 1719625796.0426
MEM 2760.472656 1719625796.1459
MEM 2784.097656 1719625796.2465
MEM 2691.359375 1719625796.3474
MEM 2691.359375 1719625796.4505
MEM 2691.359375 1719625796.5547
MEM 2691.359375 1719625796.6585
MEM 2691.359375 1719625796.7625
MEM 2691.359375 1719625796.8635
MEM 2691.359375 1719625796.9665
MEM 2691.359375 1719625797.0705
MEM 2691.359375 1719625797.1745
MEM 2691.359375 1719625797.2785
MEM 2707.980469 1719625797.3792
MEM 2755.355469 1719625797.4831
MEM 2765.855469 1719625797.5866
MEM 2791.242188 1719625797.6878
MEM 2707.421875 1719625797.7905
MEM 2707.421875 1719625797.8945
MEM 2707.421875 1719625797.9986
MEM 2707.421875 1719625798.1025
MEM 2707.421875 1719625798.2065
MEM 2707.421875 1719625798.3106
MEM 2707.421875 1719625798.4114
MEM 2723.421875 1719625798.5128
MEM 2800.921875 1719625798.6146
MEM 2904.421875 1719625798.7155
MEM 2947.621094 1719625798.8164
MEM 2930.769531 1719625798.9186
MEM 3098.394531 1719625799.0225
MEM 3031.667969 1719625799.1234
MEM 2877.488281 1719625799.2269
MEM 2913.738281 1719625799.3310
MEM 2948.738281 1719625799.4324
MEM 2975.613281 1719625799.5332
MEM 2981.363281 1719625799.6345
MEM 2985.363281 1719625799.7386
MEM 2775.660156 1719625799.8394
MEM 2848.355469 1719625799.9403
MEM 2851.355469 1719625800.0427
MEM 2860.730469 1719625800.1457
MEM 2807.656250 1719625800.2465
MEM 2787.410156 1719625800.3505
MEM 2787.410156 1719625800.4521
MEM 2787.410156 1719625800.5545
MEM 2787.410156 1719625800.6585
MEM 2787.410156 1719625800.7624
MEM 2787.410156 1719625800.8634
MEM 2787.410156 1719625800.9665
MEM 2787.410156 1719625801.0705
MEM 2787.410156 1719625801.1745
MEM 2787.410156 1719625801.2754
MEM 2838.453125 1719625801.3786
MEM 2891.191406 1719625801.4795
MEM 2947.441406 1719625801.5803
MEM 2948.566406 1719625801.6812
MEM 2971.191406 1719625801.7820
MEM 2979.519531 1719625801.8826
MEM 2883.453125 1719625801.9868
MEM 2883.453125 1719625802.0945
MEM 2883.453125 1719625802.1988
MEM 2883.453125 1719625802.3026
MEM 2883.453125 1719625802.4066
MEM 2883.453125 1719625802.5105
MEM 2883.453125 1719625802.6145
MEM 2883.453125 1719625802.7185
MEM 2883.453125 1719625802.8225
MEM 2896.574219 1719625802.9266
MEM 2947.449219 1719625803.0287
MEM 2956.074219 1719625803.1307
MEM 2971.636719 1719625803.2346
MEM 2899.453125 1719625803.3385
MEM 2899.453125 1719625803.4395
MEM 2899.453125 1719625803.5426
MEM 2899.453125 1719625803.6466
MEM 2899.453125 1719625803.7505
MEM 2899.453125 1719625803.8545
MEM 2899.453125 1719625803.9553
MEM 2915.453125 1719625804.0575
MEM 2988.953125 1719625804.1585
MEM 3102.328125 1719625804.2623
MEM 3147.023438 1719625804.3666
MEM 3137.015625 1719625804.4706
MEM 3298.140625 1719625804.5731
MEM 3257.765625 1719625804.6739
MEM 3063.757812 1719625804.7785
MEM 3095.257812 1719625804.8825
MEM 3122.257812 1719625804.9865
MEM 3153.382812 1719625805.0909
MEM 3171.882812 1719625805.1917
MEM 3176.132812 1719625805.2946
MEM 3179.382812 1719625805.3970
MEM 2995.808594 1719625805.4979
MEM 3043.308594 1719625805.6026
MEM 3048.558594 1719625805.7105
MEM 3073.683594 1719625805.8114
MEM 2979.382812 1719625805.9145
MEM 2979.382812 1719625806.0186
MEM 2979.382812 1719625806.1226
MEM 2979.382812 1719625806.2265
MEM 2979.382812 1719625806.3306
MEM 2979.382812 1719625806.4346
MEM 2979.382812 1719625806.5385
MEM 2979.382812 1719625806.6425
MEM 2979.382812 1719625806.7465
MEM 2979.382812 1719625806.8474
MEM 3017.753906 1719625806.9506
MEM 3075.617188 1719625807.0522
MEM 3139.492188 1719625807.1546
MEM 3139.492188 1719625807.2586
MEM 3153.742188 1719625807.3621
MEM 3087.664062 1719625807.4667
MEM 3123.199219 1719625807.5705
MEM 3075.433594 1719625807.6746
MEM 3075.433594 1719625807.7786
MEM 3075.433594 1719625807.8826
MEM 3075.433594 1719625807.9865
MEM 3075.433594 1719625808.0905
