CMDLINE python3 train_vishwamai_model.py
MEM 2639.164062 1718984250.6299
MEM 2300.148438 1718984250.7307
MEM 2315.035156 1718984250.8338
MEM 2531.410156 1718984250.9378
MEM 2556.136719 1718984251.0388
MEM 2253.031250 1718984251.1419
MEM 2273.906250 1718984251.2458
MEM 2291.906250 1718984251.3499
MEM 2310.031250 1718984251.4538
MEM 2271.164062 1718984251.5549
MEM 2266.414062 1718984251.6579
MEM 2288.164062 1718984251.7618
MEM 2310.289062 1718984251.8658
MEM 2430.539062 1718984251.9699
MEM 1790.128906 1718984252.0707
MEM 1090.113281 1718984252.1710
MEM 1058.886719 1718984252.2739
MEM 1080.636719 1718984252.3778
MEM 1102.886719 1718984252.4818
MEM 1204.761719 1718984252.5829
MEM 1040.144531 1718984252.6858
MEM 1058.269531 1718984252.7898
MEM 984.718750 1718984252.8938
MEM 1039.968750 1718984252.9973
MEM 1055.667969 1718984253.0982
MEM 1066.417969 1718984253.2018
MEM 1168.292969 1718984253.3027
MEM 1159.238281 1718984253.4031
MEM 1148.113281 1718984253.5058
MEM 1274.035156 1718984253.6066
MEM 1192.664062 1718984253.7099
MEM 1336.414062 1718984253.8149
MEM 1444.039062 1718984253.9165
MEM 1554.289062 1718984254.0178
MEM 1666.414062 1718984254.1211
MEM 1779.914062 1718984254.2258
MEM 1801.656250 1718984254.3299
MEM 2024.156250 1718984254.4338
MEM 2052.140625 1718984254.5346
MEM 1680.152344 1718984254.6378
MEM 1680.152344 1718984254.7386
MEM 1872.777344 1718984254.8398
MEM 2089.527344 1718984254.9407
MEM 2264.902344 1718984255.0418
MEM 2420.152344 1718984255.1459
MEM 2560.902344 1718984255.2498
MEM 2667.527344 1718984255.3538
MEM 2376.156250 1718984255.4553
MEM 2278.667969 1718984255.5561
MEM 2495.667969 1718984255.6570
MEM 2703.792969 1718984255.7578
MEM 2226.414062 1718984255.8619
MEM 2270.039062 1718984255.9658
MEM 2288.664062 1718984256.0698
MEM 2307.039062 1718984256.1738
MEM 2276.109375 1718984256.2746
MEM 2263.632812 1718984256.3778
MEM 2285.382812 1718984256.4818
MEM 2307.257812 1718984256.5858
MEM 2402.507812 1718984256.6872
MEM 1900.750000 1718984256.7888
MEM 1199.332031 1718984256.8897
MEM 1056.035156 1718984256.9906
MEM 1077.535156 1718984257.0938
MEM 1098.910156 1718984257.1965
MEM 1148.148438 1718984257.2974
MEM 1040.148438 1718984257.4018
MEM 1008.140625 1718984257.5027
MEM 976.136719 1718984257.6036
MEM 976.136719 1718984257.7043
MEM 976.136719 1718984257.8058
MEM 940.261719 1718984257.9067
MEM 940.261719 1718984258.0075
MEM 940.261719 1718984258.1084
MEM 940.261719 1718984258.2092
MEM 940.261719 1718984258.3098
MEM 949.511719 1718984258.4138
MEM 1004.136719 1718984258.5169
MEM 1022.906250 1718984258.6178
MEM 1030.031250 1718984258.7209
MEM 1128.531250 1718984258.8213
MEM 1122.531250 1718984258.9218
